"name","ave_annual_eir","phas_peak","ioD","mean_R0"
Kyankwanzi District,1.42821641425973,119,0.0033986356872961,1.57010040398968
Kyegegwa District,0.634940421707976,234,0.0302993108865951,1.2970508699475
Kyenjojo District,1.53998885538507,151,0.0299415544710868,1.60980111556184
Kyotera District,0.681580795897813,329,0.0401640693582761,1.29912148392173
Lamwo District,2.41564675759096,160,0.262056055532319,1.9133717617574
Lira City,1.41985730170704,252,0.0411692466428875,1.60870386278995
Lira District,3.2975688550654,179,0.00704035615248639,2.27180281159031
Luuka District,2.49609128505449,127,0.000957776902403432,1.95752042047085
Luwero District,1.72118133509194,214,0.00392570724239994,1.7220691048523
Lwengo District,1.20208768834199,313,0.0173218502559153,1.4802538595723
Lyantonde District,1.71494374552073,312,0.0406142489454893,1.64723257819294
Madi-Okollo District,3.06659749696097,176,0.0652543497683467,2.06576418417726
Manafwa District,0.921252571318246,343,0.00627927637615997,1.392732178669
Maracha District,1.90319449720357,121,0.0366981867773785,1.65685471334805
Masaka City,1.01018074368322,349,0.0215843078025832,1.41287467582064
Masaka District,0.440833617583805,328,0.0667820288622577,1.18712860335647
Masindi District,1.31772164808784,118,0.0065271543095135,1.53734719969825
Mayuge District,3.18453343998733,323,0.0064041760106027,2.16725246854683
Mbale City,1.10161339787749,291,0.0103167104814271,1.4721275722023
Mbale District,0.925628261642851,51,0.0116803068541695,1.39982316767844
Mbarara City,0.26544138928658,334,0.0618006446623467,1.16662912864713
Mbarara District,0.460989297615625,289,0.026539010164594,1.24054288261444
Mitooma District,0.593124238707254,218,0.0126770728863173,1.29038644601856
Mityana District,0.47902220506163,231,0.00963645470510147,1.2686348944685
Moroto District,1.47578945972929,184,0.369135939657598,1.56568271143723
Moyo District,0.711525032341055,154,0.176543266354215,1.2415773831646
Mpigi District,0.462790229407442,295,0.0112041427374022,1.23351387028232
Mubende District,0.85656607905829,204,0.0076885946736891,1.39961413252552
Mukono District,1.14117596397646,27,0.00317819796299463,1.49281744617178
Nabilatuk District,6.67569980929703,174,0.235672855292898,3.39200606342643
Nakapiripirit District,9.11257060273076,193,0.0505774544213285,4.22417117454129
Nakaseke District,0.77658839935745,232,0.0155428605921691,1.38465099309056
Nakasongola District,1.96757961986414,209,0.0163564682740271,1.77377043746428
Namayingo District,3.48227744866565,328,0.00258712534796826,2.23270840347058
Namisindwa District,0.537983598240998,58,0.0859830176155806,1.25689138815167
Namutumba District,1.33120053287811,263,0.00769150171675138,1.5171044585573
Napak District,6.55238372775259,184,0.150714789874477,3.35844984005056
Nebbi District,3.41332875396852,174,0.00647822873154096,2.22206403043046
Ngora District,1.88953326705599,203,0.0159425998057514,1.75011872397196
Ntoroko District,0.597374338613124,61,0.0388447447175193,1.24770731756875
Ntungamo District,0.373310522416128,278,0.00942944154860832,1.15699974618197
Nwoya District,2.4049957724267,144,0.0202236450022191,1.90207341296757
Obongi District,2.2832840381865,152,0.172473692285028,1.75699313678789
Omoro District,1.29646297850451,138,0.0943423315672188,1.54307570543148
Otuke District,3.57373874948485,179,0.0449812531251529,2.35808689307012
Oyam District,2.8793319452865,157,0.0326469421177103,2.0764061837224
Pader District,1.65468221509024,146,0.137899238233786,1.66881512245086
Pakwach District,1.29259696254235,197,0.0618222442182221,1.46561112271594
Pallisa District,2.75986164163575,308,0.0147233002220999,2.0141114902859
Rakai District,1.29142379961147,304,0.0107588114028764,1.48705987013003
Rubanda District,0.214234636715349,256,0.0256435408792367,1.11173868061425
Rubirizi District,1.03925020579806,98,0.0101558166068166,1.46042327166222
Rukiga District,0.177162001799447,101,2.81372405748538,1.12475626613788
Rukungiri District,0.341410203443746,231,0.00549280811823619,1.14859278313886
Rwampara District,0.242911686117195,26,0.0699288604355229,1.15969390827884
Sembabule District,0.661431977524019,294,0.0413096213115808,1.28895438871991
Serere District,1.6920556889663,248,0.014216806685498,1.71651560620101
Sheema District,0.197794317553555,294,0.0134215491233454,1.13367004253585
Sironko District,0.670730680951089,84,0.00139501143615902,1.30752207589089
Soroti City,0.729354957543468,187,0.0451794875564903,1.36156109983986
Soroti District,1.23164508725016,174,0.0363351342988594,1.53913905040058
Terego District,2.7777486114881,174,0.0537429494343788,1.994613968284
Tororo District,0.846466428314894,309,0.000642037842392605,1.3016951812132
Wakiso District,0.435841682044057,301,0.00347432091025885,1.23093550121259
Yumbe District,1.5258145296406,173,0.138101146900574,1.53680607526035
Zombo District,2.04413659191686,61,0.369800723310789,1.75968402992259
