"district_name","ITN_Type","max_effect","min_effect","median_effect","mean_effect","max_percent","min_percent","median_percent","mean_percent"
"Kabale District","ITN4",2.95,1.44,1.83,2.1,66.09,30.35,45.41,52.37
"Kabarole District","ITN2",1.6,0.99,1.37,1.34,37.66,-1.49,26.8,25.27
"Kabarole District","ITN3",1.42,1.14,1.54,1.51,29.69,-7.36,19.14,17.67
"Kabarole District","ITN4",3.37,1.4,2.62,2.53,70.31,28.38,61.8,60.45
"Kaberamaido District","ITN2",4.01,1.93,1.8,1.61,75.06,48.22,44.35,37.82
"Kaberamaido District","ITN3",1.12,0.83,0.94,0.94,10.54,-53.49,-20.41,-24.9
"Kaberamaido District","ITN4",1.11,0.43,0.66,0.61,10.3,-135.27,-51.74,-63.12
"Kagadi District","ITN2",1.68,1.17,1.32,1.34,40.34,14.6,24.02,25.33
"Kagadi District","ITN3",1.11,1,1.1,1.12,10.01,-21.26,-10.07,-8.5
"Kagadi District","ITN4",1.76,0.93,1.17,1.2,43.19,-7.27,14.27,16.94
"Kakumiro District","ITN2",1.77,1.39,1.53,1.54,43.52,28.18,34.7,34.88
"Kakumiro District","ITN3",1.1,1.01,1.03,1.03,9.18,-8.1,-1.02,-0.82
"Kakumiro District","ITN4",1.5,1.08,1.24,1.24,33.34,7.51,19.08,19.39
"Kalaki District","ITN2",5.62,1.45,2.5,2.79,82.2,31.07,60.04,64.17
"Kalaki District","ITN3",1.19,0.91,0.95,0.95,15.66,-42.46,-20.51,-15.8
"Kalaki District","ITN4",1.16,0.45,0.64,0.69,14.12,-122.18,-57.34,-45.91
"Kalangala District","ITN2",2.29,0.95,1.66,1.61,56.37,-4.94,39.59,37.82
"Kalangala District","ITN3",1.53,0.87,1.21,1.19,34.55,-28.8,14.58,12.61
"Kalangala District","ITN4",3.16,0.51,1.87,1.78,68.36,-95.37,46.64,43.83
"Kaliro District","ITN2",1.14,0.95,1.09,1.07,11.96,-4.78,8.58,6.84
"Kaliro District","ITN3",1.02,0.94,1.04,1.02,2.38,-21.98,-2.53,-5.06
"Kaliro District","ITN4",1.16,0.73,1.06,1.01,13.89,-37.12,5.82,1.26
"Kalungu District","ITN2",1.39,1.16,1.32,1.28,27.98,13.61,24.31,21.96
"Kalungu District","ITN3",1.27,1.06,1.15,1.13,21.46,7.37,17.83,15.51
"Kalungu District","ITN4",1.65,1.19,1.51,1.43,39.29,15.73,33.9,30.24
"Kampala District","ITN2",1.05,0.87,0.97,0.97,4.47,-15.59,-3.23,-2.83
"Kampala District","ITN3",1.2,1,1.21,1.22,16.9,-7.49,7.98,8.46
"Kampala District","ITN4",1.6,0.98,1.33,1.35,37.58,-1.9,25.07,25.8
"Kamuli District","ITN2",1.14,0.97,1.12,1.08,12.45,-3.29,10.55,7.29
"Kamuli District","ITN3",0.99,0.9,1.06,1.02,-1.03,-13.46,-2.56,-5.16
"Kamuli District","ITN4",1.17,0.82,1.12,1.04,14.78,-22.46,11.06,4.24
"Kamwenge District","ITN2",1.52,1.27,1.35,1.39,34.23,21.25,25.89,28.12
"Kamwenge District","ITN3",1.28,1.25,1.34,1.38,22.17,8.12,13.1,15.51
"Kamwenge District","ITN4",2.33,1.65,1.87,1.98,57.14,39.5,46.48,49.55
"Kanungu District","ITN2",1.5,1.11,1.25,1.27,33.38,9.63,19.79,21.44
"Kanungu District","ITN3",1.23,1.26,1.49,1.53,18.99,-7.42,3.73,5.56
"Kanungu District","ITN4",2.99,1.6,2.09,2.19,66.5,37.59,52.26,54.26
"Kapchorwa District","ITN2",1.2,0.69,0.96,0.93,16.97,-44.3,-4.64,-7.13
"Kapchorwa District","ITN3",1.17,0.89,1.46,1.41,14.5,-42.43,-5.28,-7.55
"Kapchorwa District","ITN4",3.32,0.8,2.13,2.02,69.86,-24.61,52.99,50.47
"Kapelebyong District","ITN2",1.3,0.97,1.16,1.13,23.27,-2.64,14.02,11.46
"Kapelebyong District","ITN3",1.31,0.85,1.04,1,23.77,3.45,16.42,14.41
"Kapelebyong District","ITN4",1.27,0.74,1.05,0.99,21.04,-35.07,4.39,-0.8
"Karenga District","ITN2",1.23,0.77,1.06,1.05,18.57,-29.55,5.63,4.71
"Karenga District","ITN3",1.24,0.65,1.64,1.6,19.43,-38.98,3.92,2.82
"Karenga District","ITN4",3.4,0.46,2.24,2.17,70.56,-119.59,55.3,53.85
"Kasese District","ITN2",1.65,1.12,1.42,1.39,39.27,10.53,29.46,28.16
"Kasese District","ITN3",1.2,1.1,1.37,1.35,16.87,-7.17,7.95,6.83
"Kasese District","ITN4",2.31,1.23,1.84,1.79,56.77,18.46,45.64,44.03
"Kassanda District","ITN2",1.32,1.15,1.24,1.24,24.43,13.31,19.68,19.57
"Kassanda District","ITN3",1.21,0.97,1.09,1.09,17.55,7.01,13.01,12.91
"Kassanda District","ITN4",1.26,0.95,1.12,1.12,20.63,-4.95,10.58,10.33
"Katakwi District","ITN2",1.34,0.96,1.08,1.11,25.26,-3.8,7.4,9.86
"Katakwi District","ITN3",1.19,0.75,0.87,0.91,16.3,-6.23,2.23,4.12
"Katakwi District","ITN4",1.2,0.62,0.81,0.85,16.92,-60.18,-23.9,-17.21
"Kayunga District","ITN2",1.1,1.04,1.04,1.06,8.96,3.57,3.96,5.72
"Kayunga District","ITN3",1.16,0.94,0.95,0.99,14.04,5.01,5.69,8.65
"Kayunga District","ITN4",1.14,0.94,0.95,1.01,11.96,-6.49,-4.98,1.42
"Kazo District","ITN2",1.99,1.12,1.28,1.42,49.87,11.01,21.68,29.42
"Kazo District","ITN3",1.3,0.81,0.86,0.92,23.11,-13.02,-4.22,2.63
"Kazo District","ITN4",1.25,0.58,0.7,0.81,20.01,-71.39,-42.45,-23.45
"Kibaale District","ITN2",1.34,0.94,1.03,1.08,25.15,-6.52,3.34,7.57
"Kibaale District","ITN3",1.44,1.01,1.06,1.08,30.45,-14.27,0.99,7.11
"Kibaale District","ITN4",2.06,1.04,1.29,1.41,51.38,3.96,22.59,29.32
"Kiboga District","ITN2",1.87,0.79,1.59,1.41,46.63,-27.36,37.05,29.17
"Kiboga District","ITN3",1.51,0.41,1.02,0.91,33.66,-42.91,22.9,14.3
"Kiboga District","ITN4",1.37,0.33,1.02,0.81,27.12,-198.57,1.6,-24.13
"Kibuku District","ITN2",3.58,1.58,1.72,1.75,72.1,36.62,41.96,42.98
"Kibuku District","ITN3",1.79,0.75,0.9,0.9,44.12,39.42,-4.54,-4.19
"Kibuku District","ITN4",1.12,0.53,0.54,0.55,11.04,-87.75,-86.72,-83.26
"Kikuube District","ITN2",1.18,0.95,1.04,1.05,15.46,-4.94,3.45,4.74
"Kikuube District","ITN3",1.1,0.99,1.11,1.13,8.93,-9.9,-2.25,-1.07
"Kikuube District","ITN4",1.67,0.99,1.23,1.28,40.16,-1.01,18.98,21.62
"Kiruhura District","ITN2",1.42,0.94,1.26,1.21,29.64,-6.8,20.71,17.23
"Kiruhura District","ITN3",1.31,0.89,1.01,0.99,23.71,-10.58,15.08,11.77
