"district","campaign","distribution_start","distribution_end","distribution_date","coverage","mean_date","month_count","parent","location_id","latitude","longitude","level","path_to_top_parent","authority","emonc","emonc_unsupported_and_cross_cutting","facility_level","operational_status","ownership","region_name","district_name","subcounty_name"
"Alebtong District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"DWPnYhoqza0","p7EEgDEX3jT",NA,NA,3,"akV6429SUqu,DWPnYhoqza0,p7EEgDEX3jT",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Lango","Alebtong District",NA
"Amolatar District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"DWPnYhoqza0","ZuQHWOaFQVM",NA,NA,3,"akV6429SUqu,DWPnYhoqza0,ZuQHWOaFQVM",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Lango","Amolatar District",NA
"Budaka District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"QBPg7KKCeoA","kb7iUQISRlx",NA,NA,3,"akV6429SUqu,QBPg7KKCeoA,kb7iUQISRlx",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bukedi","Budaka District",NA
"Bugiri District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"Wd1lV9Qdj4o","gUaoj8Geuao",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,gUaoj8Geuao",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Bugiri District",NA
"Butebo District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"QBPg7KKCeoA","FDPqRvcW3NN",NA,NA,3,"akV6429SUqu,QBPg7KKCeoA,FDPqRvcW3NN",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bukedi","Butebo District",NA
"Kaberamaido District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"r0GhWtmPHDj","QoRZB7xc3j9",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,QoRZB7xc3j9",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Kaberamaido District",NA
"Kalaki District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"r0GhWtmPHDj","KOnkIf4N6jA",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,KOnkIf4N6jA",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Kalaki District",NA
"Kibuku District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"QBPg7KKCeoA","Oyxwe3iDqpR",NA,NA,3,"akV6429SUqu,QBPg7KKCeoA,Oyxwe3iDqpR",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bukedi","Kibuku District",NA
"Namutumba District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"Wd1lV9Qdj4o","esIUe2tQAtL",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,esIUe2tQAtL",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Namutumba District",NA
"Pallisa District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"QBPg7KKCeoA","WiVj4bEhX4P",NA,NA,3,"akV6429SUqu,QBPg7KKCeoA,WiVj4bEhX4P",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bukedi","Pallisa District",NA
"Isingiro District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"F1o6qBSx783","UaR7OHycj8c",NA,NA,3,"akV6429SUqu,F1o6qBSx783,UaR7OHycj8c",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Isingiro District",NA
"Kakumiro District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"yx0ieyZNF0l","Lnewt3iIJaK",NA,NA,3,"akV6429SUqu,yx0ieyZNF0l,Lnewt3iIJaK",NA,NA,"Unsupported Districts",NA,NA,NA,"Bunyoro","Kakumiro District",NA
"Lyantonde District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"IEU0FjDAhBP","aPRNSGUR3vk",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,aPRNSGUR3vk",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Lyantonde District",NA
"Ntoroko District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"JZhJ50nOirX","z8D9ER36EKN",NA,NA,3,"akV6429SUqu,JZhJ50nOirX,z8D9ER36EKN",NA,NA,"Unsupported Districts",NA,NA,NA,"Tooro","Ntoroko District",NA
"Bukedea District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"r0GhWtmPHDj","tdZbtg9sZkO",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,tdZbtg9sZkO",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Bukedea District",NA
"Kibaale District","2023_2023",NA,NA,"2023-06","",2023-06-01,101,"yx0ieyZNF0l","tM3DsJxMaMX",NA,NA,3,"akV6429SUqu,yx0ieyZNF0l,tM3DsJxMaMX",NA,NA,"Unsupported Districts",NA,NA,NA,"Bunyoro","Kibaale District",NA
"Buhweju District","2023_2023",NA,NA,"2023-07","",2023-07-01,102,"F1o6qBSx783","sWoNWQZ9qrD",NA,NA,3,"akV6429SUqu,F1o6qBSx783,sWoNWQZ9qrD",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Buhweju District",NA
"Kalangala District","2023_2023",NA,NA,"2023-07","",2023-07-01,102,"IEU0FjDAhBP","JrHILmtK0OU",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,JrHILmtK0OU",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Kalangala District",NA
"Sheema District","2023_2023",NA,NA,"2023-07","",2023-07-01,102,"F1o6qBSx783","xAJgEKKAeRA",NA,NA,3,"akV6429SUqu,F1o6qBSx783,xAJgEKKAeRA",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Sheema District",NA
"Rubirizi District","2023_2023",NA,NA,"2023-07","",2023-07-01,102,"F1o6qBSx783","fS71jg1WYPk",NA,NA,3,"akV6429SUqu,F1o6qBSx783,fS71jg1WYPk",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Rubirizi District",NA
"Kiruhura District","2023_2023",NA,NA,"2023-07","",2023-07-01,102,"F1o6qBSx783","qf9xWZu7Dq8",NA,NA,3,"akV6429SUqu,F1o6qBSx783,qf9xWZu7Dq8",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Kiruhura District",NA
"Mitooma District","2023_2023",NA,NA,"2023-07","",2023-07-01,102,"F1o6qBSx783","FLygHiUd2UW",NA,NA,3,"akV6429SUqu,F1o6qBSx783,FLygHiUd2UW",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Mitooma District",NA
"Serere District","2023_2023",NA,NA,"2023-07","",2023-07-01,102,"r0GhWtmPHDj","zJfpujxC1kD",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,zJfpujxC1kD",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Serere District",NA
"Soroti District","2023_2023",NA,NA,"2023-07","",2023-07-01,102,"r0GhWtmPHDj","srmGjHrpVE5",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,srmGjHrpVE5",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Soroti District",NA
"Namisindwa District","2023_2023",NA,NA,"2023-07","",2023-07-01,102,"Dt6qdenPX1E","TGzZPOmbgn8",NA,NA,3,"akV6429SUqu,Dt6qdenPX1E,TGzZPOmbgn8",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bugisu","Namisindwa District",NA
"Lira District","2023_2023",NA,NA,"2023-07","",2023-07-01,102,"DWPnYhoqza0","Lj8t70RYnEt",NA,NA,3,"akV6429SUqu,DWPnYhoqza0,Lj8t70RYnEt",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Lango","Lira District",NA
"Soroti City District","2023_2023",NA,NA,"2023-07","",2023-07-01,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lira City District","2023_2023",NA,NA,"2023-07","",2023-07-01,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bushenyi District","2023_2023",NA,NA,"2023-08","",2023-08-01,103,"F1o6qBSx783","It5UGwdHAPF",NA,NA,3,"akV6429SUqu,F1o6qBSx783,It5UGwdHAPF",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Bushenyi District",NA
"Lwengo District","2023_2023",NA,NA,"2023-08","",2023-08-01,103,"IEU0FjDAhBP","aqpd0Y9eXZ2",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,aqpd0Y9eXZ2",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Lwengo District",NA
"Rakai District","2023_2023",NA,NA,"2023-08","",2023-08-01,103,"IEU0FjDAhBP","P8iz90eiIrW",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,P8iz90eiIrW",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Rakai District",NA
"Kyotera District","2023_2023",NA,NA,"2023-08","",2023-08-01,103,"IEU0FjDAhBP","REJuxCmTwXG",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,REJuxCmTwXG",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Kyotera District",NA
"Masaka District","2023_2023",NA,NA,"2023-08","",2023-08-01,103,"IEU0FjDAhBP","bIONCoCnt3Q",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Masaka District",NA
"Masaka City District","2023_2023",NA,NA,"2023-08","",2023-08-01,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kalungu District","2023_2023",NA,NA,"2023-08","",2023-08-01,103,"IEU0FjDAhBP","ahyi8Uq4vaj",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,ahyi8Uq4vaj",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Kalungu District",NA
"Nakaseke District","2023_2023",NA,NA,"2023-08","",2023-08-01,103,"Dl9WvtvDs5V","aSbgVKaeCP0",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,aSbgVKaeCP0",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Nakaseke District",NA
"Dokolo District","2023_2023",NA,NA,"2023-08","",2023-08-01,103,"DWPnYhoqza0","wMQ25dybdgH",NA,NA,3,"akV6429SUqu,DWPnYhoqza0,wMQ25dybdgH",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Lango","Dokolo District",NA
"Kaliro District","2023_2023",NA,NA,"2023-08","",2023-08-01,103,"Wd1lV9Qdj4o","kJCEJnXLgnh",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,kJCEJnXLgnh",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Kaliro District",NA
"Bugweri District","2023_2023",NA,NA,"2023-08","",2023-08-01,103,"Wd1lV9Qdj4o","AIonX4LaJeU",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,AIonX4LaJeU",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Bugweri District",NA
"Tororo District","2023_2023",NA,NA,"2023-08","",2023-08-01,103,"QBPg7KKCeoA","KhT80mlwJ3Y",NA,NA,3,"akV6429SUqu,QBPg7KKCeoA,KhT80mlwJ3Y",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bukedi","Tororo District",NA
"Mbale District","2023_2023",NA,NA,"2023-08","",2023-08-01,103,"Dt6qdenPX1E","yuo5ielNL7W",NA,NA,3,"akV6429SUqu,Dt6qdenPX1E,yuo5ielNL7W",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bugisu","Mbale District",NA
"Mbale City District","2023_2023",NA,NA,"2023-08","",2023-08-01,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bududa District","2023_2023",NA,NA,"2023-08","",2023-08-01,103,"Dt6qdenPX1E","AhwgeZQYj16",NA,NA,3,"akV6429SUqu,Dt6qdenPX1E,AhwgeZQYj16",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bugisu","Bududa District",NA
"Sironko District","2023_2023",NA,NA,"2023-08","",2023-08-01,103,"Dt6qdenPX1E","wJ2a6YKDFZW",NA,NA,3,"akV6429SUqu,Dt6qdenPX1E,wJ2a6YKDFZW",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bugisu","Sironko District",NA
"Kween District","2023_2023",NA,NA,"2023-08","",2023-08-01,103,"Dt6qdenPX1E","h1O9AvNR4jS",NA,NA,3,"akV6429SUqu,Dt6qdenPX1E,h1O9AvNR4jS",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bugisu","Kween District",NA
"Rwampara District","2023_2023",NA,NA,"2023-09","",2023-09-01,104,"F1o6qBSx783","tsugXWRXwGu",NA,NA,3,"akV6429SUqu,F1o6qBSx783,tsugXWRXwGu",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Rwampara District",NA
"Bukwo District","2023_2023",NA,NA,"2023-09","",2023-09-01,104,"Dt6qdenPX1E","e8m9ZYMRoeR",NA,NA,3,"akV6429SUqu,Dt6qdenPX1E,e8m9ZYMRoeR",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bugisu","Bukwo District",NA
"Bulambuli District","2023_2023",NA,NA,"2023-09","",2023-09-01,104,"Dt6qdenPX1E","auLatLbcOxf",NA,NA,3,"akV6429SUqu,Dt6qdenPX1E,auLatLbcOxf",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bugisu","Bulambuli District",NA
"Buyende District","2023_2023",NA,NA,"2023-09","",2023-09-01,104,"Wd1lV9Qdj4o","F3ccON3OCsL",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,F3ccON3OCsL",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Buyende District",NA
"Ibanda District","2023_2023",NA,NA,"2023-09","",2023-09-01,104,"F1o6qBSx783","r8WLxW9JwsS",NA,NA,3,"akV6429SUqu,F1o6qBSx783,r8WLxW9JwsS",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Ibanda District",NA
"Iganga District","2023_2023",NA,NA,"2023-09","",2023-09-01,104,"Wd1lV9Qdj4o","oNxpMjveyZt",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,oNxpMjveyZt",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Iganga District",NA
"Jinja City District","2023_2023",NA,NA,"2023-09","",2023-09-01,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jinja District","2023_2023",NA,NA,"2023-09","",2023-09-01,104,"Wd1lV9Qdj4o","aJR2ZxSH7g4",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,aJR2ZxSH7g4",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Jinja District",NA
"Kamuli District","2023_2023",NA,NA,"2023-09","",2023-09-01,104,"Wd1lV9Qdj4o","oyygQ2STBST",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,oyygQ2STBST",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Kamuli District",NA
"Kamwenge District","2023_2023",NA,NA,"2023-09","",2023-09-01,104,"JZhJ50nOirX","uCVQXAdKqL9",NA,NA,3,"akV6429SUqu,JZhJ50nOirX,uCVQXAdKqL9",NA,NA,"Unsupported Districts",NA,NA,NA,"Tooro","Kamwenge District",NA
"Kapchorwa District","2023_2023",NA,NA,"2023-09","",2023-09-01,104,"Dt6qdenPX1E","aginheWSLef",NA,NA,3,"akV6429SUqu,Dt6qdenPX1E,aginheWSLef",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bugisu","Kapchorwa District",NA
"Kazo District","2023_2023",NA,NA,"2023-09","",2023-09-01,104,"F1o6qBSx783","AS2Seq1grGE",NA,NA,3,"akV6429SUqu,F1o6qBSx783,AS2Seq1grGE",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Kazo District",NA
"Kyegegwa District","2023_2023",NA,NA,"2023-09","",2023-09-01,104,"JZhJ50nOirX","a9tQqo1rSj7",NA,NA,3,"akV6429SUqu,JZhJ50nOirX,a9tQqo1rSj7",NA,NA,"Unsupported Districts",NA,NA,NA,"Tooro","Kyegegwa District",NA
"Luuka District","2023_2023",NA,NA,"2023-09","",2023-09-01,104,"Wd1lV9Qdj4o","hn1AlYtF1Pu",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,hn1AlYtF1Pu",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Luuka District",NA
"Mbarara District","2023_2023",NA,NA,"2023-09","",2023-09-01,104,"F1o6qBSx783","auswb7JO9wY",NA,NA,3,"akV6429SUqu,F1o6qBSx783,auswb7JO9wY",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Mbarara District",NA
"Mbarara City District","2023_2023",NA,NA,"2023-09","",2023-09-01,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Namayingo District","2023_2023",NA,NA,"2023-09","",2023-09-01,104,"Wd1lV9Qdj4o","Ut0ysYGEipO",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,Ut0ysYGEipO",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Namayingo District",NA
"Ntungamo District","2023_2023",NA,NA,"2023-09","",2023-09-01,104,"F1o6qBSx783","hAoe9dhZh9V",NA,NA,3,"akV6429SUqu,F1o6qBSx783,hAoe9dhZh9V",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Ntungamo District",NA
"Zombo District","2023_2023",NA,NA,"2023-10","",2023-10-01,105,"BD3XaQ7cQAp","A4aGXEfdb8P",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,A4aGXEfdb8P",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Zombo District",NA
"Nebbi District","2023_2023",NA,NA,"2023-10","",2023-10-01,105,"BD3XaQ7cQAp","Xjc0LDFa5gW",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,Xjc0LDFa5gW",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Nebbi District",NA
"Pakwach District","2023_2023",NA,NA,"2023-10","",2023-10-01,105,"BD3XaQ7cQAp","uqUyTPvQKII",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,uqUyTPvQKII",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Pakwach District",NA
"Bundibugyo District","2023_2023",NA,NA,"2023-10","",2023-10-01,105,"JZhJ50nOirX","g8M1cWRJZV6",NA,NA,3,"akV6429SUqu,JZhJ50nOirX,g8M1cWRJZV6",NA,NA,"Unsupported Districts",NA,NA,NA,"Tooro","Bundibugyo District",NA
"Bunyangabu District","2023_2023",NA,NA,"2023-10","",2023-10-01,105,"JZhJ50nOirX","iTfbtn6JUsN",NA,NA,3,"akV6429SUqu,JZhJ50nOirX,iTfbtn6JUsN",NA,NA,"Unsupported Districts",NA,NA,NA,"Tooro","Bunyangabu District",NA
"Kasese District","2023_2023",NA,NA,"2023-10","",2023-10-01,105,"JZhJ50nOirX","aa8xVDzSpte",NA,NA,3,"akV6429SUqu,JZhJ50nOirX,aa8xVDzSpte",NA,NA,"Unsupported Districts",NA,NA,NA,"Tooro","Kasese District",NA
"Fort Portal City District","2023_2023",NA,NA,"2023-10","",2023-10-01,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kabarole District","2023_2023",NA,NA,"2023-10","",2023-10-01,105,"JZhJ50nOirX","m77oR1YJESj",NA,NA,3,"akV6429SUqu,JZhJ50nOirX,m77oR1YJESj",NA,NA,"Unsupported Districts",NA,NA,NA,"Tooro","Kabarole District",NA
"Kyenjojo District","2023_2023",NA,NA,"2023-10","",2023-10-01,105,"JZhJ50nOirX","O9MoQcpZ4uA",NA,NA,3,"akV6429SUqu,JZhJ50nOirX,O9MoQcpZ4uA",NA,NA,"Unsupported Districts",NA,NA,NA,"Tooro","Kyenjojo District",NA
"Rukungiri District","2023_2023",NA,NA,"2023-10","",2023-10-01,105,"G0rlphd2tcD","tugqr4dY6wq",NA,NA,3,"akV6429SUqu,G0rlphd2tcD,tugqr4dY6wq",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Kigezi","Rukungiri District",NA
"Kanungu District","2023_2023",NA,NA,"2023-10","",2023-10-01,105,"G0rlphd2tcD","aphcy5JTnd6",NA,NA,3,"akV6429SUqu,G0rlphd2tcD,aphcy5JTnd6",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Kigezi","Kanungu District",NA
"Rubanda District","2023_2023",NA,NA,"2023-10","",2023-10-01,105,"G0rlphd2tcD","wZrfAgC3WrU",NA,NA,3,"akV6429SUqu,G0rlphd2tcD,wZrfAgC3WrU",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Kigezi","Rubanda District",NA
"Kisoro District","2023_2023",NA,NA,"2023-10","",2023-10-01,105,"G0rlphd2tcD","aPhSZRinfbg",NA,NA,3,"akV6429SUqu,G0rlphd2tcD,aPhSZRinfbg",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Kigezi","Kisoro District",NA
"Kabale District","2023_2023",NA,NA,"2023-10","",2023-10-01,105,"G0rlphd2tcD","zBIpPzKYFLp",NA,NA,3,"akV6429SUqu,G0rlphd2tcD,zBIpPzKYFLp",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Kigezi","Kabale District",NA
"Rukiga District","2023_2023",NA,NA,"2023-10","",2023-10-01,105,"G0rlphd2tcD","fsP0Wxie1UW",NA,NA,3,"akV6429SUqu,G0rlphd2tcD,fsP0Wxie1UW",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Kigezi","Rukiga District",NA
"Bukomansimbi District","2023_2023",NA,NA,"2023-10","",2023-10-01,105,"IEU0FjDAhBP","Ame30QOwuX6",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,Ame30QOwuX6",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Bukomansimbi District",NA
"Mpigi District","2023_2023",NA,NA,"2023-10","",2023-10-01,105,"IEU0FjDAhBP","YMMexeHFUay",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,YMMexeHFUay",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Mpigi District",NA
"Kiboga District","2023_2023",NA,NA,"2023-10","",2023-10-01,105,"Dl9WvtvDs5V","GLHh0BXys9w",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,GLHh0BXys9w",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Kiboga District",NA
"Kyankwanzi District","2023_2023",NA,NA,"2023-10","",2023-10-01,105,"Dl9WvtvDs5V","IVuiLJYABw6",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,IVuiLJYABw6",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Kyankwanzi District",NA
"Luwero District","2023_2023",NA,NA,"2023-10","",2023-10-01,105,"Dl9WvtvDs5V","tr9XWtYsL5P",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,tr9XWtYsL5P",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Luwero District",NA
"Otuke District","2023_2023",NA,NA,"2023-10","",2023-10-01,105,"DWPnYhoqza0","aXjub1BYn1y",NA,NA,3,"akV6429SUqu,DWPnYhoqza0,aXjub1BYn1y",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Lango","Otuke District",NA
"Busia District","2023_2023",NA,NA,"2023-10","",2023-10-01,105,"QBPg7KKCeoA","lkuO79O6mRx",NA,NA,3,"akV6429SUqu,QBPg7KKCeoA,lkuO79O6mRx",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bukedi","Busia District",NA
"Koboko District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"BD3XaQ7cQAp","iqsaGItA68C",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,iqsaGItA68C",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Koboko District",NA
"Yumbe District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"BD3XaQ7cQAp","W1JM2Qdhcv3",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,W1JM2Qdhcv3",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Yumbe District",NA
"Maracha District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"BD3XaQ7cQAp","WyR8Eetj7Uw",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,WyR8Eetj7Uw",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Maracha District",NA
"Arua City District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arua District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"BD3XaQ7cQAp","WcB3kLlgRTb",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,WcB3kLlgRTb",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Arua District",NA
"Terego District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"BD3XaQ7cQAp","bJgx6UjvyoP",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,bJgx6UjvyoP",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Terego District",NA
"Madi-Okollo District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"BD3XaQ7cQAp","bLoH4VbxCGI",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,bLoH4VbxCGI",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Madi-Okollo District",NA
"Obongi District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"BD3XaQ7cQAp","uTMUclQ5bi6",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,uTMUclQ5bi6",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Obongi District",NA
"Moyo District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"BD3XaQ7cQAp","W0kQBddyGyh",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,W0kQBddyGyh",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Moyo District",NA
"Adjumani District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"BD3XaQ7cQAp","QYiQ2KqgCxj",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,QYiQ2KqgCxj",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Adjumani District",NA
"Amuru District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"SUvODYOcaVf","C0RSe3EWBqU",NA,NA,3,"akV6429SUqu,SUvODYOcaVf,C0RSe3EWBqU",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Acholi","Amuru District",NA
"Nwoya District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"SUvODYOcaVf","zNgVoDVPYgD",NA,NA,3,"akV6429SUqu,SUvODYOcaVf,zNgVoDVPYgD",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Acholi","Nwoya District",NA
