"location","spray_start","spray_end","formulation","year","household_coverage","population_coverage","funder","source","source_2","spray_date","month_count","location_id","region_name","path_to_top_parent","form_short","district"
"Pader District",2012-04-01,2012-05-20,"Bendiocarb",2012,NA,NA,"PMI","Sheet from Rek + AI","","2012-04",-33,"aBrjuZk0W31","Acholi","akV6429SUqu,SUvODYOcaVf,aBrjuZk0W31","bendio","Pader District"
"Pader District",2012-10-01,2012-11-20,"Bendiocarb",2012,NA,NA,"PMI","Sheet from Rek + AI","","2012-10",-27,"aBrjuZk0W31","Acholi","akV6429SUqu,SUvODYOcaVf,aBrjuZk0W31","bendio","Pader District"
"Pader District",2013-04-01,2013-05-20,"Bendiocarb",2013,NA,NA,"PMI","Sheet from Rek + USAID 2014 report","","2013-04",-21,"aBrjuZk0W31","Acholi","akV6429SUqu,SUvODYOcaVf,aBrjuZk0W31","bendio","Pader District"
"Pader District",2013-10-01,2013-12-20,"Bendiocarb",2013,NA,NA,"PMI","Sheet from Rek + USAID 2014 report","","2013-11",-14,"aBrjuZk0W31","Acholi","akV6429SUqu,SUvODYOcaVf,aBrjuZk0W31","bendio","Pader District"
"Pader District",2014-04-01,2014-04-20,"Bendiocarb",2014,NA,NA,"","https://web.archive.org/web/20250202204856/https://pdf.usaid.gov/pdf_docs/PA00MV8B.pdf","","2014-04",-9,"aBrjuZk0W31","Acholi","akV6429SUqu,SUvODYOcaVf,aBrjuZk0W31","bendio","Pader District"
"Pader District",2014-10-20,2014-11-14,"Bendiocarb",2014,NA,0.949,"","https://web.archive.org/web/20250202204856/https://pdf.usaid.gov/pdf_docs/PA00MV8B.pdf","","2014-11",-2,"aBrjuZk0W31","Acholi","akV6429SUqu,SUvODYOcaVf,aBrjuZk0W31","bendio","Pader District"
"Kaberamaido",2017-04-01,2017-07-01,"Actellic",2017,NA,NA,"","USAID summarized by AI (can't check)","","2017-05",28,NA,NA,NA,"actellic","Kalaki"
"Agago District",2017-03-01,2017-04-01,"Actellic",2017,NA,NA,"","https://www.nature.com/articles/s41467-021-22896-5","","2017-03",26,"ztIyIYAzFKp","Acholi","akV6429SUqu,SUvODYOcaVf,ztIyIYAzFKp","actellic","Agago District"
"Alebtong District",2017-05-02,2017-06-06,"Actellic",2017,98.3,NA,"","https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676","","2017-05",28,"p7EEgDEX3jT","Lango","akV6429SUqu,DWPnYhoqza0,p7EEgDEX3jT","actellic","Alebtong District"
"Amolatar District",2017-05-02,2017-06-06,"Actellic",2017,95.8,NA,"","https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676","","2017-05",28,"ZuQHWOaFQVM","Lango","akV6429SUqu,DWPnYhoqza0,ZuQHWOaFQVM","actellic","Amolatar District"
